Type,SSC_NAME,Subsegment,TEC_NAME,Pollutant,Load,Slope,R2,a,b,c,d,e,f,g,Vmin,Vmax,Function_ID,Speed,Function,Calc_func,100
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,0,0%,0.9881063136,1.9278995221,49.6320139095,-0.137896413,0.6376934601,0.017694873,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),2.47312,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,0,0%,0.9540816083,37.8069045894,1.0172152222,-0.7975969706,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),4.70031,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,0,0%,0.9905303545,40.2344380758,0.9912938153,-0.5280823916,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),1.80480,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,0,0%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,0,0%,0.9823576271,1721.5314846294,1.0128391161,-0.8053952561,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),142.67870,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,50,0%,0.9881942284,2.5228651625,43.3825063443,-0.1384229904,0.5385747708,0.0320545907,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),2.73960,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,50,0%,0.9468364876,36.9424268678,1.0152149069,-0.7482624938,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),4.83058,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,50,0%,0.9904128695,45.0701280428,0.9927183573,-0.5844510706,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),1.77955,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,50,0%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,50,0%,0.9805847589,1741.2548557224,1.0122926692,-0.787345535,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),149.30265,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,100,0%,0.9863555084,3.0221552266,26.7462712064,0.1579337737,0.3576085154,0.052364252,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),3.09249,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,100,0%,0.9413083917,36.9290515233,1.0138117428,-0.7134092692,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),5.00735,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,100,0%,0.990262817,51.6865986703,0.9952469667,-0.6585743454,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),1.82566,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,100,0%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,100,0%,0.9753395186,-0.0007148514,0.161384941,-11.3427217902,402.1655713851,0,0,0,12,86,14,86,(((a*(x^3))+(b*(x^2))+(c*x))+d),165.60900,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,0,-6%,0.9878151769,7.118188518,-12.9338249266,-1.7880927502,0,0,0,0,12,86,13,86,rxp((a+(b/x))+(c*ln(x))),0.36899,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,0,-6%,0.9813400971,6.8609725175,-13.5010270017,-1.8694915332,0,0,0,0,12,86,13,86,rxp((a+(b/x))+(c*ln(x))),0.19723,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,0,-6%,0.9947682955,0.4798544624,61.105572961,0.0047838614,0.7196187988,0.0270802696,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),0.72135,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,0,-6%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,0,-6%,0.9852141731,11.3300486434,-15.5546514164,-2.0436566374,0,0,0,0,12,86,13,86,rxp((a+(b/x))+(c*ln(x))),7.73708,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,50,-6%,0.9874598031,8.1978369427,-17.8130482164,-2.079921026,0,0,0,0,12,86,13,86,rxp((a+(b/x))+(c*ln(x))),0.27972,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,50,-6%,0.9801918184,7.7033147071,-17.2245653321,-2.1014131549,0,0,0,0,12,86,13,86,rxp((a+(b/x))+(c*ln(x))),0.15608,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,50,-6%,0.9953205843,0.1270768204,37.4969952271,0.9638203992,0.9249238491,0.0154730504,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),0.54447,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,50,-6%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,50,-6%,0.9848223077,12.2677231194,-19.4623123019,-2.3067951527,0,0,0,0,12,86,13,86,rxp((a+(b/x))+(c*ln(x))),5.84830,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,100,-6%,0.9867780741,8.6648108199,-19.7529707946,-2.2075947537,0,0,0,0,12,86,13,86,rxp((a+(b/x))+(c*ln(x))),0.24702,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,100,-6%,0.9785394916,-0.1630401241,4.9808911688,4.9328704462,1.8688634932,-0.0066352879,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),0.11687,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,100,-6%,0.9956657256,0.0752709972,38.589364767,0.9384382564,0.942209413,0.0142602445,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),0.50564,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,100,-6%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,100,-6%,0.9839630964,12.5882059492,-20.8546519832,-2.4004478952,0,0,0,0,12,86,13,86,rxp((a+(b/x))+(c*ln(x))),5.22409,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,0,-4%,0.9818662335,-2.11558816808043E-005,0.0049833625,-0.3567784686,9.4341581765,0,0,0,12,86,14,86,(((a*(x^3))+(b*(x^2))+(c*x))+d),2.15183,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,0,-4%,0.9561782937,-1.33625291455723E-005,0.0031539478,-0.2250071944,5.9574757349,0,0,0,12,86,14,86,(((a*(x^3))+(b*(x^2))+(c*x))+d),1.43414,86
