Sector,Sub-Sector,Technology,Euro No.,Pollutant,Alpha,Beta,Gamma,Delta,Epsilon,Zita,Ita,h,RF,Vmin,Vmax,Equation
Light Commercial Vehicles,Gasoline <3.5 t,LD Euro 5 - 2008 Standards,5,CO,3.434026885139020E-01,-1.343816057210220E-02,-6.670099126863130E-03,4.680153539786940E-05,4.066818361786840E-05,3.097649642448090E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,120,Equation 1
Light Commercial Vehicles,Gasoline <3.5 t,LD Euro 6,6,CO,3.406738877921390E-01,-1.335710048311920E-02,-6.998314530857570E-03,4.642700276374210E-05,4.403157153752540E-05,3.228754340282910E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,120,Equation 1
Light Commercial Vehicles,Gasoline <3.5 t,LD Euro 6,6c,CO,3.406738877921390E-01,-1.335710048311920E-02,-6.998314530857570E-03,4.642700276374210E-05,4.403157153752540E-05,3.228754340282910E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,120,Equation 1
Light Commercial Vehicles,Diesel <3.5 t,LD Euro 5 - 2008 Standards,5,CO,-7.488889156686400E-14,3.048831675757390E-11,-4.706413938913800E-09,3.811765176720530E-07,-2.144854953689660E-05,8.315235782809840E-04,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,110,Equation 17
Light Commercial Vehicles,Diesel <3.5 t,LD Euro 6,6,CO,-1.096671904296920E-13,4.463520728240940E-11,-6.882418497607270E-09,5.561690494395590E-07,-3.120816429922740E-05,1.206208550682600E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,110,Equation 17
Light Commercial Vehicles,Diesel <3.5 t,LD Euro 6,6c,CO,-1.096671904296920E-13,4.463520728240940E-11,-6.882418497607270E-09,5.561690494395590E-07,-3.120816429922740E-05,1.206208550682600E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,110,Equation 17
Light Commercial Vehicles,Gasoline <3.5 t,LD Euro 5 - 2008 Standards,5,NOx,4.550650530566850E-02,-1.725018937898240E-02,-2.425290495776370E-03,-2.421682820548320E-03,-1.046552621065900E-05,-1.869002013285980E-02,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,120,Equation 1
Light Commercial Vehicles,Gasoline <3.5 t,LD Euro 6,6,NOx,2.413488158065410E-12,-5.922752683076530E-10,2.004654714839120E-08,6.127203641568430E-06,-7.361288287474570E-04,4.040731476236810E-02,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,120,Equation 17
Light Commercial Vehicles,Gasoline <3.5 t,LD Euro 6,6c,NOx,2.413488158065410E-12,-5.922752683076530E-10,2.004654714839120E-08,6.127203641568430E-06,-7.361288287474570E-04,4.040731476236810E-02,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,120,Equation 17
Light Commercial Vehicles,Diesel <3.5 t,LD Euro 5 - 2008 Standards,5,NOx,5.139643105649970E-01,-1.440456154572330E-02,-8.551717819626800E-03,5.682782083470790E-05,4.302581128831590E-05,3.430407917575060E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,110,Equation 1
