Sector,Sub-Sector,Technology,Euro No.,Pollutant,Alpha,Beta,Gamma,Delta,Epsilon,Zita,Ita,Thita,RF,Vmin,Vmax,Equation
Passenger Cars,Gasoline <0.8 l,PC Euro 5 - EC 715/2007,5,CO,-1.354376942879660E-10,7.858365835691210E-08,-1.224295056067040E-05,7.749271178964710E-04,-1.973246903043840E-02,3.980487979126890E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
Passenger Cars,Gasoline 0.8 - 1.4 l,PC Euro 5 - EC 715/2007,5,CO,-1.354376942879660E-10,7.858365835691210E-08,-1.224295056067040E-05,7.749271178964710E-04,-1.973246903043840E-02,3.980487979126890E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
Passenger Cars,Gasoline 1.4 - 2.0 l,PC Euro 5 - EC 715/2007,5,CO,-1.354376942879660E-10,7.858365835691210E-08,-1.224295056067040E-05,7.749271178964710E-04,-1.973246903043840E-02,3.980487979126890E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
Passenger Cars,Gasoline >2.0 l,PC Euro 5 - EC 715/2007,5,CO,-1.354376942879660E-10,7.858365835691210E-08,-1.224295056067040E-05,7.749271178964710E-04,-1.973246903043840E-02,3.980487979126890E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
Passenger Cars,Gasoline <0.8 l,PC Euro 6 - EC 715/2007,6,CO,-6.497284831062370E-11,4.776815197487420E-08,-7.785594420578030E-06,5.055450659988670E-04,-1.378904390244280E-02,3.541466194043890E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
Passenger Cars,Gasoline 0.8 - 1.4 l,PC Euro 6 - EC 715/2007,6,CO,-6.497284831062370E-11,4.776815197487420E-08,-7.785594420578030E-06,5.055450659988670E-04,-1.378904390244280E-02,3.541466194043890E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
Passenger Cars,Gasoline 1.4 - 2.0 l,PC Euro 6 - EC 715/2007,6,CO,-6.497284831062370E-11,4.776815197487420E-08,-7.785594420578030E-06,5.055450659988670E-04,-1.378904390244280E-02,3.541466194043890E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
Passenger Cars,Gasoline >2.0 l,PC Euro 6 - EC 715/2007,6,CO,-6.497284831062370E-11,4.776815197487420E-08,-7.785594420578030E-06,5.055450659988670E-04,-1.378904390244280E-02,3.541466194043890E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
Passenger Cars,Gasoline <0.8 l,PC Euro 6 - EC 715/2007,6c,CO,-4.420573270678410E-11,4.037930297960290E-08,-6.733016333828030E-06,4.341151912705300E-04,-1.167959993829160E-02,3.380157921038230E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
Passenger Cars,Gasoline 0.8 - 1.4 l,PC Euro 6 - EC 715/2007,6c,CO,-4.420573270678410E-11,4.037930297960290E-08,-6.733016333828030E-06,4.341151912705300E-04,-1.167959993829160E-02,3.380157921038230E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
Passenger Cars,Gasoline 1.4 - 2.0 l,PC Euro 6 - EC 715/2007,6c,CO,-4.420573270678410E-11,4.037930297960290E-08,-6.733016333828030E-06,4.341151912705300E-04,-1.167959993829160E-02,3.380157921038230E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
Passenger Cars,Gasoline >2.0 l,PC Euro 6 - EC 715/2007,6c,CO,-4.420573270678410E-11,4.037930297960290E-08,-6.733016333828030E-06,4.341151912705300E-04,-1.167959993829160E-02,3.380157921038230E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
Passenger Cars,Diesel <1.4 l,PC Euro 5 - EC 715/2007,5,CO,-8.655479275578570E+13,1.758149950153860E+14,2.470245154932330E+13,3.178878992968460E+12,-1.936918899722280E+11,8.331814566745430E+13,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel 1.4 - 2.0 l,PC Euro 5 - EC 715/2007,5,CO,-8.655479275578570E+13,1.758149950153860E+14,2.470245154932330E+13,3.178878992968460E+12,-1.936918899722280E+11,8.331814566745430E+13,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel >2.0 l,PC Euro 5 - EC 715/2007,5,CO,-8.655479275578570E+13,1.758149950153860E+14,2.470245154932330E+13,3.178878992968460E+12,-1.936918899722280E+11,8.331814566745430E+13,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel <1.4 l,PC Euro 6 - EC 715/2007,6,CO,-3.577885501229480E-11,1.228921657215360E-08,-1.493017710656790E-06,8.579287719254910E-05,-2.942699642280150E-03,1.031364960710660E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 17
Passenger Cars,Diesel 1.4 - 2.0 l,PC Euro 6 - EC 715/2007,6,CO,-3.577885501229480E-11,1.228921657215360E-08,-1.493017710656790E-06,8.579287719254910E-05,-2.942699642280150E-03,1.031364960710660E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 17
Passenger Cars,Diesel >2.0 l,PC Euro 6 - EC 715/2007,6,CO,-3.577885501229480E-11,1.228921657215360E-08,-1.493017710656790E-06,8.579287719254910E-05,-2.942699642280150E-03,1.031364960710660E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 17
Passenger Cars,Diesel <1.4 l,PC Euro 6 - EC 715/2007,6c,CO,-3.577885501229480E-11,1.228921657215360E-08,-1.493017710656790E-06,8.579287719254910E-05,-2.942699642280150E-03,1.031364960710660E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 17
Passenger Cars,Diesel 1.4 - 2.0 l,PC Euro 6 - EC 715/2007,6c,CO,-3.577885501229480E-11,1.228921657215360E-08,-1.493017710656790E-06,8.579287719254910E-05,-2.942699642280150E-03,1.031364960710660E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 17
Passenger Cars,Diesel >2.0 l,PC Euro 6 - EC 715/2007,6c,CO,-3.577885501229480E-11,1.228921657215360E-08,-1.493017710656790E-06,8.579287719254910E-05,-2.942699642280150E-03,1.031364960710660E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 17
Passenger Cars,Gasoline <0.8 l,PC Euro 5 - EC 715/2007,5,NOx,1.891624237219290E-01,1.571506422772980E+00,8.154750567951180E-02,2.732775846531830E-02,-2.488917588715230E-04,-2.684672364982280E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 1
Passenger Cars,Gasoline 0.8 - 1.4 l,PC Euro 5 - EC 715/2007,5,NOx,1.891624237219290E-01,1.571506422772980E+00,8.154750567951180E-02,2.732775846531830E-02,-2.488917588715230E-04,-2.684672364982280E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 1
Passenger Cars,Gasoline 1.4 - 2.0 l,PC Euro 5 - EC 715/2007,5,NOx,1.891624237219290E-01,1.571506422772980E+00,8.154750567951180E-02,2.732775846531830E-02,-2.488917588715230E-04,-2.684672364982280E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 1
Passenger Cars,Gasoline >2.0 l,PC Euro 5 - EC 715/2007,5,NOx,1.891624237219290E-01,1.571506422772980E+00,8.154750567951180E-02,2.732775846531830E-02,-2.488917588715230E-04,-2.684672364982280E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 1
Passenger Cars,Gasoline <0.8 l,PC Euro 6 - EC 715/2007,6,NOx,4.742321440117320E-01,5.621746461823470E+00,3.405777631690800E-01,8.376288182221080E-02,-1.515826702917250E-03,-1.191086695181980E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 1
Passenger Cars,Gasoline 0.8 - 1.4 l,PC Euro 6 - EC 715/2007,6,NOx,4.742321440117320E-01,5.621746461823470E+00,3.405777631690800E-01,8.376288182221080E-02,-1.515826702917250E-03,-1.191086695181980E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 1
Passenger Cars,Gasoline 1.4 - 2.0 l,PC Euro 6 - EC 715/2007,6,NOx,4.742321440117320E-01,5.621746461823470E+00,3.405777631690800E-01,8.376288182221080E-02,-1.515826702917250E-03,-1.191086695181980E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 1
Passenger Cars,Gasoline >2.0 l,PC Euro 6 - EC 715/2007,6,NOx,4.742321440117320E-01,5.621746461823470E+00,3.405777631690800E-01,8.376288182221080E-02,-1.515826702917250E-03,-1.191086695181980E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 1
Passenger Cars,Gasoline <0.8 l,PC Euro 6 - EC 715/2007,6c,NOx,9.992361291835220E+14,1.886586842590800E+16,1.314307437645870E+15,2.895722945779970E+14,-6.338386174343220E+12,-4.033327904793490E+15,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 1
Passenger Cars,Gasoline 0.8 - 1.4 l,PC Euro 6 - EC 715/2007,6c,NOx,9.992361291835220E+14,1.886586842590800E+16,1.314307437645870E+15,2.895722945779970E+14,-6.338386174343220E+12,-4.033327904793490E+15,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 1
Passenger Cars,Gasoline 1.4 - 2.0 l,PC Euro 6 - EC 715/2007,6c,NOx,9.992361291835220E+14,1.886586842590800E+16,1.314307437645870E+15,2.895722945779970E+14,-6.338386174343220E+12,-4.033327904793490E+15,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 1
